Diversion Case Type,Race or Ethnicity,Count
Ad. Recovery,American Indian,2
Ad. Recovery,Asian or Pacific Islander,4
Ad. Recovery,Black or African American,32
Ad. Recovery,Hispanic,10
Ad. Recovery,Native American or Alaska Native,1
Ad. Recovery,Other,32
Ad. Recovery,White or Caucasian,304
Ad. Wellness,White or Caucasian,1
Adult,American Indian,1
Adult,Asian or Pacific Islander,1
Adult,Black or African American,5
Adult,Hispanic,1
Adult,Other,13
Adult,White or Caucasian,109
Juvenile,American Indian,1
Juvenile,Asian or Pacific Islander,1
Juvenile,Black or African American,16
Juvenile,Hispanic,1
Juvenile,Native American or Alaska Native,1
Juvenile,Other,4
Juvenile,White or Caucasian,171
