Quarter,Total Number of Cases Accepted,Adult,Juvenile,District
2002 Q1,1,0,1,08
2002 Q2,0,0,0,08
2002 Q3,0,0,0,08
2002 Q4,0,0,0,08
2003 Q1,0,0,0,08
2003 Q2,0,0,0,08
2003 Q3,0,0,0,08
2003 Q4,0,0,0,08
2004 Q1,0,0,0,08
2004 Q2,0,0,0,08
2004 Q3,0,0,0,08
2004 Q4,0,0,0,08
2005 Q1,0,0,0,08
2005 Q2,0,0,0,08
2005 Q3,0,0,0,08
2005 Q4,0,0,0,08
2006 Q1,0,0,0,08
2006 Q2,0,0,0,08
2006 Q3,0,0,0,08
2006 Q4,0,0,0,08
2007 Q1,0,0,0,08
2007 Q2,0,0,0,08
2007 Q3,0,0,0,08
2007 Q4,0,0,0,08
2008 Q1,0,0,0,08
2008 Q2,0,0,0,08
2008 Q3,0,0,0,08
2008 Q4,0,0,0,08
2009 Q1,0,0,0,08
2009 Q2,0,0,0,08
2009 Q3,0,0,0,08
2009 Q4,0,0,0,08
2010 Q1,0,0,0,08
2010 Q2,0,0,0,08
2010 Q3,0,0,0,08
2010 Q4,0,0,0,08
2011 Q1,0,0,0,08
2011 Q2,0,0,0,08
2011 Q3,0,0,0,08
2011 Q4,0,0,0,08
2012 Q1,0,0,0,08
2012 Q2,0,0,0,08
2012 Q3,0,0,0,08
2012 Q4,0,0,0,08
2013 Q1,0,0,0,08
2013 Q2,0,0,0,08
2013 Q3,0,0,0,08
2013 Q4,0,0,0,08
2014 Q1,0,0,0,08
2014 Q2,0,0,0,08
2014 Q3,0,0,0,08
2014 Q4,0,0,0,08
2015 Q1,0,0,0,08
2015 Q2,0,0,0,08
2015 Q3,0,0,0,08
2015 Q4,0,0,0,08
2016 Q1,0,0,0,08
2016 Q2,0,0,0,08
2016 Q3,0,0,0,08
2016 Q4,0,0,0,08
2017 Q1,0,0,0,08
2017 Q2,0,0,0,08
2017 Q3,0,0,0,08
2017 Q4,0,0,0,08
2018 Q1,0,0,0,08
2018 Q2,0,0,0,08
2018 Q3,0,0,0,08
2018 Q4,0,0,0,08
2019 Q1,0,0,0,08
2019 Q2,0,0,0,08
2019 Q3,0,0,0,08
2019 Q4,0,0,0,08
2020 Q1,42,0,42,08
2020 Q2,24,0,24,08
2020 Q3,53,0,53,08
2020 Q4,22,0,22,08
2021 Q1,7,0,7,08
2021 Q2,0,0,0,08
2021 Q3,4,0,4,08
2021 Q4,14,0,14,08
2022 Q1,40,0,40,08
2022 Q2,54,0,54,08
2022 Q3,39,0,39,08
2022 Q4,103,4,99,08
2023 Q1,102,0,102,08
2023 Q2,92,0,92,08
2023 Q3,50,0,50,08
2023 Q4,76,0,76,08
