district,Accepted Date,Successfully Completed Date,Diversion Case Type
19,2022-08-31,2023-01-10,Juvenile
19,2023-01-03,2023-02-06,Juvenile
19,2023-01-25,2023-02-28,Juvenile
19,2023-01-30,2023-03-03,Juvenile
19,2023-02-06,2023-03-23,Juvenile
19,2023-01-26,2023-03-27,Juvenile
19,2023-03-13,2023-04-18,Juvenile
19,2023-01-23,2023-04-18,Juvenile
19,2023-01-31,2023-04-18,Juvenile
19,2023-01-25,2023-04-24,Juvenile
19,2023-02-13,2023-04-27,Juvenile
19,2023-02-01,2023-05-03,Juvenile
19,2023-02-08,2023-05-03,Juvenile
19,2023-02-13,2023-05-05,Juvenile
19,2023-01-11,2023-05-05,Juvenile
19,2023-03-22,2023-05-15,Juvenile
19,2023-03-08,2023-05-22,Juvenile
19,2023-02-08,2023-05-22,Juvenile
19,2023-01-11,2023-05-22,Juvenile
19,2023-02-08,2023-05-24,Juvenile
19,2023-04-11,2023-05-31,Juvenile
19,2023-02-27,2023-06-06,Juvenile
19,2023-03-14,2023-06-14,Juvenile
19,2023-03-15,2023-06-19,Juvenile
19,2023-05-17,2023-07-06,Juvenile
19,2023-01-24,2023-07-06,Juvenile
19,2023-04-12,2023-07-06,Juvenile
19,2023-04-24,2023-07-12,Juvenile
19,2023-04-19,2023-07-14,Juvenile
19,2023-05-23,2023-07-14,Juvenile
19,2023-05-10,2023-07-19,Juvenile
19,2023-06-21,2023-07-20,Juvenile
19,2023-05-17,2023-07-25,Juvenile
19,2023-05-03,2023-08-01,Juvenile
19,2023-05-02,2023-08-01,Juvenile
19,2023-06-14,2023-08-02,Juvenile
19,2023-05-30,2023-08-09,Juvenile
19,2023-05-30,2023-08-15,Juvenile
19,2023-06-26,2023-08-16,Juvenile
19,2023-05-24,2023-08-21,Juvenile
19,2023-06-21,2023-08-21,Juvenile
19,2023-06-05,2023-08-24,Juvenile
19,2023-06-20,2023-08-24,Juvenile
19,2023-05-31,2023-09-05,Juvenile
19,2023-07-10,2023-09-06,Juvenile
19,2023-07-19,2023-09-19,Juvenile
19,2023-05-17,2023-09-19,Juvenile
19,2023-08-01,2023-10-09,Juvenile
19,2023-07-26,2023-10-13,Juvenile
19,2023-07-12,2023-10-31,Juvenile
19,2023-04-12,2023-10-31,Juvenile
19,2023-08-01,2023-11-02,Juvenile
19,2023-07-31,2023-11-02,Juvenile
19,2023-09-25,2023-11-08,Juvenile
19,2023-07-12,2023-11-28,Juvenile
19,2023-08-07,2023-12-13,Juvenile
19,2023-08-23,2023-12-13,Juvenile
19,2023-09-11,2023-12-13,Juvenile
19,2023-09-25,2023-12-14,Juvenile
19,2023-08-16,2023-12-15,Juvenile
19,2023-10-18,2023-12-19,Juvenile
19,2023-09-27,2023-12-28,Juvenile
19,2023-10-04,2024-01-03,Juvenile
19,2023-09-27,2024-01-03,Juvenile
19,2023-10-20,2024-01-03,Juvenile
19,2023-11-06,2024-01-22,Juvenile
19,2023-10-25,2024-01-22,Juvenile
19,2023-09-27,2024-01-26,Juvenile
19,2023-08-24,2024-01-26,Juvenile
19,2023-09-27,2024-01-30,Juvenile
19,2023-08-24,2024-02-21,Juvenile
19,2023-09-20,2024-02-21,Juvenile
19,2023-10-25,2024-02-22,Juvenile
19,2023-08-23,2024-02-23,Juvenile
19,2023-08-28,2024-02-23,Juvenile
19,2023-12-20,2024-03-12,Juvenile
19,2023-11-22,2024-03-13,Juvenile
19,2023-11-21,2024-03-14,Juvenile
19,2023-10-04,2024-03-15,Juvenile
19,2023-12-13,2024-03-26,Juvenile
19,2023-10-25,2024-03-29,Juvenile
19,2023-12-20,2024-04-01,Juvenile
19,2023-10-18,2024-04-04,Juvenile
19,2023-12-04,2024-04-10,Juvenile
19,2023-12-19,2024-04-11,Juvenile
19,2023-10-04,2024-04-15,Juvenile
19,2023-11-08,2024-04-18,Juvenile
19,2023-10-03,2024-04-18,Juvenile
19,2023-09-26,2024-04-18,Juvenile
19,2023-12-28,2024-04-23,Juvenile
19,2023-09-25,2024-04-26,Juvenile
19,2023-10-13,2024-04-26,Juvenile
19,2023-11-08,2024-05-01,Juvenile
19,2023-09-05,2024-05-17,Juvenile
19,2023-10-13,2024-06-27,Juvenile
